python_version	relative_path	kind	byte_exact	structure_equal	metadata_equal	dtypes_equal	nan_masks_equal	values_exact	canonical_exact	differing_pixels	rms_channel_difference	max_absolute_difference	max_relative_difference	within_tolerance	status
3.13.14	cosp_histogram/MISR-COSP/MISRCOSP_v2-COSP_HISTOGRAM_MISR-JJA-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	cosp_histogram/MISR-COSP/MISRCOSP_v2-COSP_HISTOGRAM_MISR-MAM-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	cosp_histogram/MISR-COSP/MISRCOSP_v2-COSP_HISTOGRAM_MISR-SON-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	cosp_histogram/MODIS-COSP/MODISCOSP_v2-COSP_HISTOGRAM_MODIS-ANN-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	cosp_histogram/MODIS-COSP/MODISCOSP_v2-COSP_HISTOGRAM_MODIS-DJF-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	cosp_histogram/MODIS-COSP/MODISCOSP_v2-COSP_HISTOGRAM_MODIS-JJA-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	cosp_histogram/MODIS-COSP/MODISCOSP_v2-COSP_HISTOGRAM_MODIS-MAM-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	cosp_histogram/MODIS-COSP/MODISCOSP_v2-COSP_HISTOGRAM_MODIS-SON-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	enso_diags/FLNS-feedback/feedback-FLNS-NINO3-TS-NINO3.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	enso_diags/FSNS-feedback/feedback-FSNS-NINO3-TS-NINO3.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	enso_diags/LHFLX-feedback/feedback-LHFLX-NINO3-TS-NINO3.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	enso_diags/LHFLX-response/regression-coefficient-lhflx-over-nino34.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	enso_diags/LHFLX-response/regression-coefficient-lhflx-over-nino34.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	enso_diags/NET_FLUX_SRF-feedback/feedback-NET_FLUX_SRF-NINO3-TS-NINO3.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	enso_diags/NET_FLUX_SRF-response/regression-coefficient-net_flux_srf-over-nino34.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	enso_diags/NET_FLUX_SRF-response/regression-coefficient-net_flux_srf-over-nino34.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	enso_diags/PRECT-response/regression-coefficient-prect-over-nino34.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	enso_diags/PRECT-response/regression-coefficient-prect-over-nino34.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	enso_diags/SHFLX-feedback/feedback-SHFLX-NINO3-TS-NINO3.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	enso_diags/SHFLX-response/regression-coefficient-shflx-over-nino34.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	enso_diags/SHFLX-response/regression-coefficient-shflx-over-nino34.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	enso_diags/TAUX-feedback/feedback-TAUX-NINO4-TS-NINO3.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	enso_diags/TAUX-response/regression-coefficient-taux-over-nino34.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	enso_diags/TAUX-response/regression-coefficient-taux-over-nino34.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	enso_diags/TAUY-response/regression-coefficient-tauy-over-nino34.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	enso_diags/TAUY-response/regression-coefficient-tauy-over-nino34.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
